epoch	train_mse	test_mse	test_accuracy
522	0.247618	0.247043	0.5488
523	0.247617	0.247041	0.5488
524	0.247615	0.247039	0.5488
525	0.247613	0.247038	0.5488
526	0.247612	0.247036	0.5488
527	0.247610	0.247034	0.5488
528	0.247609	0.247033	0.5488
529	0.247607	0.247031	0.5488
530	0.247605	0.247029	0.5488
531	0.247604	0.247027	0.5488
532	0.247602	0.247026	0.5488
533	0.247601	0.247024	0.5488
534	0.247599	0.247022	0.5488
535	0.247598	0.247021	0.5488
536	0.247596	0.247019	0.5488
537	0.247594	0.247017	0.5488
538	0.247593	0.247015	0.5488
539	0.247591	0.247014	0.5488
540	0.247590	0.247012	0.5488
541	0.247588	0.247010	0.5488
542	0.247586	0.247008	0.5488
543	0.247585	0.247007	0.5488
544	0.247583	0.247005	0.5488
545	0.247581	0.247003	0.5488
546	0.247580	0.247002	0.5488
547	0.247578	0.247000	0.5488
548	0.247577	0.246998	0.5488
549	0.247575	0.246996	0.5488
550	0.247573	0.246995	0.5488
551	0.247572	0.246993	0.5488
552	0.247570	0.246991	0.5488
553	0.247568	0.246989	0.5488
554	0.247567	0.246987	0.5488
555	0.247565	0.246986	0.5488
556	0.247564	0.246984	0.5488
557	0.247562	0.246982	0.5488
558	0.247560	0.246980	0.5488
559	0.247559	0.246979	0.5488
560	0.247557	0.246977	0.5488
561	0.247555	0.246975	0.5488
562	0.247554	0.246973	0.5488
563	0.247552	0.246971	0.5488
564	0.247550	0.246970	0.5488
565	0.247549	0.246968	0.5488
566	0.247547	0.246966	0.5488
567	0.247545	0.246964	0.5488
568	0.247544	0.246963	0.5488
569	0.247542	0.246961	0.5488
570	0.247540	0.246959	0.5488
571	0.247539	0.246957	0.5488
572	0.247537	0.246955	0.5488
573	0.247535	0.246953	0.5488
574	0.247534	0.246952	0.5488
575	0.247532	0.246950	0.5488
576	0.247530	0.246948	0.5488
577	0.247528	0.246946	0.5488
578	0.247527	0.246944	0.5488
579	0.247525	0.246943	0.5488
580	0.247523	0.246941	0.5488
581	0.247522	0.246939	0.5488
582	0.247520	0.246937	0.5488
583	0.247518	0.246935	0.5488
584	0.247516	0.246933	0.5488
585	0.247515	0.246931	0.5488
586	0.247513	0.246930	0.5488
587	0.247511	0.246928	0.5488
588	0.247510	0.246926	0.5488
589	0.247508	0.246924	0.5488
590	0.247506	0.246922	0.5488
591	0.247504	0.246920	0.5488
592	0.247503	0.246918	0.5488
593	0.247501	0.246917	0.5488
594	0.247499	0.246915	0.5488
595	0.247497	0.246913	0.5488
596	0.247496	0.246911	0.5488
597	0.247494	0.246909	0.5488
598	0.247492	0.246907	0.5488
599	0.247490	0.246905	0.5488
600	0.247489	0.246903	0.5488
601	0.247487	0.246902	0.5488
602	0.247485	0.246900	0.5488
603	0.247483	0.246898	0.5488
604	0.247482	0.246896	0.5488
605	0.247480	0.246894	0.5488
606	0.247478	0.246892	0.5488
607	0.247476	0.246890	0.5488
608	0.247474	0.246888	0.5488
609	0.247473	0.246886	0.5488
610	0.247471	0.246884	0.5488
611	0.247469	0.246882	0.5488
612	0.247467	0.246881	0.5488
613	0.247465	0.246879	0.5488
614	0.247464	0.246877	0.5488
615	0.247462	0.246875	0.5488
616	0.247460	0.246873	0.5488
617	0.247458	0.246871	0.5488
618	0.247456	0.246869	0.5488
619	0.247455	0.246867	0.5488
620	0.247453	0.246865	0.5488
621	0.247451	0.246863	0.5488
622	0.247449	0.246861	0.5488
623	0.247447	0.246859	0.5488
624	0.247445	0.246857	0.5488
625	0.247444	0.246855	0.5488
626	0.247442	0.246853	0.5488
627	0.247440	0.246851	0.5488
628	0.247438	0.246849	0.5488
629	0.247436	0.246847	0.5488
630	0.247434	0.246845	0.5488
631	0.247433	0.246843	0.5488
632	0.247431	0.246841	0.5488
633	0.247429	0.246839	0.5488
634	0.247427	0.246837	0.5488
635	0.247425	0.246835	0.5488
636	0.247423	0.246833	0.5488
637	0.247421	0.246831	0.5488
638	0.247420	0.246829	0.5488
639	0.247418	0.246827	0.5488
640	0.247416	0.246825	0.5488
641	0.247414	0.246823	0.5488
642	0.247412	0.246821	0.5488
643	0.247410	0.246819	0.5488
644	0.247408	0.246817	0.5488
645	0.247406	0.246815	0.5488
646	0.247404	0.246813	0.5488
647	0.247403	0.246811	0.5488
648	0.247401	0.246809	0.5488
649	0.247399	0.246807	0.5488
650	0.247397	0.246805	0.5488
651	0.247395	0.246803	0.5488
652	0.247393	0.246801	0.5488
653	0.247391	0.246799	0.5488
654	0.247389	0.246797	0.5488
